time,amplitude
0.0,1.0
0.001,0.9995065603657316
0.002,0.9980267284282716
0.003,0.99556196460308
0.004,0.9921147013144779
0.005,0.9876883405951378
0.006,0.9822872507286887
0.007,0.9759167619387474
0.008,0.9685831611286311
0.009,0.9602936856769431
0.01,0.9510565162951535
0.011,0.9408807689542255
0.012,0.9297764858882513
0.013,0.9177546256839811
0.014,0.9048270524660196
0.015,0.8910065241883679
0.016,0.8763066800438636
0.017,0.8607420270039436
0.018,0.8443279255020152
0.019,0.8270805742745618
0.02,0.8090169943749475
0.021,0.7901550123756904
0.022,0.7705132427757893
0.023,0.7501110696304596
0.024,0.7289686274214116
0.025,0.7071067811865476
0.026,0.6845471059286887
0.027,0.6613118653236519
0.028,0.6374239897486897
0.029,0.6129070536529765
0.03,0.5877852522924731
0.031,0.5620833778521306
0.032,0.5358267949789965
0.033,0.5090414157503712
0.034,0.48175367410171516
0.035,0.4539904997395468
0.036,0.4257792915650728
0.037,0.3971478906347808
0.038,0.3681245526846781
0.039,0.3387379202452915
0.04,0.30901699437494745
0.041,0.2789911060392293
0.042,0.24868988716485474
0.043,0.2181432413965427
0.044,0.18738131458572474
0.045,0.15643446504023092
0.046,0.12533323356430426
0.047,0.09410831331851428
0.048,0.0627905195293133
0.049,0.031410759078128396
0.05,6.123233995736766e-17
0.051,-0.031410759078128056
0.052,-0.06279051952931318
0.053,-0.09410831331851416
0.054,-0.12533323356430415
0.055,-0.1564344650402308
0.056,-0.1873813145857246
0.057,-0.21814324139654256
0.058,-0.24868988716485485
0.059,-0.27899110603922916
0.06,-0.30901699437494734
0.061,-0.33873792024529137
0.062,-0.368124552684678
0.063,-0.39714789063478045
0.064,-0.4257792915650727
0.065,-0.45399049973954675
0.066,-0.48175367410171543
0.067,-0.5090414157503713
0.068,-0.5358267949789969
0.069,-0.5620833778521307
0.07,-0.587785252292473
0.071,-0.6129070536529763
0.072,-0.6374239897486894
0.073,-0.6613118653236517
0.074,-0.6845471059286884
0.075,-0.7071067811865475
0.076,-0.7289686274214113
0.077,-0.7501110696304595
0.078,-0.7705132427757891
0.079,-0.7901550123756904
0.08,-0.8090169943749473
