time,amplitude
0.0,-1.0
0.001,-0.99
0.002,-0.98
0.003,-0.97
0.004,-0.96
0.005,-0.95
0.006,-0.94
0.007,-0.9299999999999999
0.008,-0.92
0.009,-0.91
0.01,-0.9
0.011,-0.89
0.012,-0.88
0.013,-0.87
0.014,-0.86
0.015,-0.85
0.016,-0.84
0.017,-0.83
0.018,-0.8200000000000001
0.019,-0.81
0.02,-0.8
0.021,-0.79
0.022,-0.78
0.023,-0.77
0.024,-0.76
0.025,-0.75
0.026,-0.74
0.027,-0.73
0.028,-0.72
0.029,-0.71
0.03,-0.7
0.031,-0.69
0.032,-0.6799999999999999
0.033,-0.6699999999999999
0.034,-0.6599999999999999
0.035,-0.6499999999999999
0.036,-0.64
0.037,-0.63
0.038,-0.62
0.039,-0.61
0.04,-0.6
0.041,-0.59
0.042,-0.58
0.043,-0.5700000000000001
0.044,-0.56
0.045,-0.55
0.046,-0.54
0.047,-0.53
0.048,-0.52
0.049,-0.51
0.05,-0.5
0.051,-0.49
0.052,-0.48
0.053,-0.47
0.054,-0.45999999999999996
0.055,-0.44999999999999996
0.056,-0.43999999999999995
0.057,-0.42999999999999994
0.058,-0.41999999999999993
0.059,-0.41000000000000003
0.06,-0.4
0.061,-0.39
0.062,-0.38
0.063,-0.37
0.064,-0.36
0.065,-0.35
0.066,-0.33999999999999997
0.067,-0.32999999999999996
0.068,-0.31999999999999995
0.069,-0.30999999999999994
0.07,-0.29999999999999993
0.071,-0.29000000000000004
0.072,-0.28
0.073,-0.27
0.074,-0.26
0.075,-0.25
0.076,-0.24
0.077,-0.22999999999999998
0.078,-0.21999999999999997
0.079,-0.20999999999999996
0.08,-0.19999999999999996
0.081,-0.18999999999999995
0.082,-0.17999999999999994
0.083,-0.16999999999999993
0.084,-0.15999999999999992
0.085,-0.1499999999999999
0.086,-0.14000000000000012
0.087,-0.13000000000000012
0.088,-0.1200000000000001
0.089,-0.1100000000000001
0.09,-0.10000000000000009
0.091,-0.09000000000000008
0.092,-0.08000000000000007
0.093,-0.07000000000000006
0.094,-0.06000000000000005
0.095,-0.050000000000000044
0.096,-0.040000000000000036
0.097,-0.030000000000000027
0.098,-0.020000000000000018
0.099,-0.010000000000000009
0.1,0.0
0.101,0.010000000000000009
0.102,0.020000000000000018
0.103,0.030000000000000027
0.104,0.040000000000000036
0.105,0.050000000000000044
0.106,0.06000000000000005
0.107,0.07000000000000006
0.108,0.08000000000000007
0.109,0.09000000000000008
0.11,0.10000000000000009
0.111,0.1100000000000001
0.112,0.1200000000000001
0.113,0.13000000000000012
0.114,0.14000000000000012
0.115,0.15000000000000013
0.116,0.16000000000000014
0.117,0.17000000000000015
0.118,0.17999999999999994
0.119,0.18999999999999995
0.12,0.19999999999999996
0.121,0.20999999999999996
0.122,0.21999999999999997
0.123,0.22999999999999998
0.124,0.24
0.125,0.25
0.126,0.26
0.127,0.27
0.128,0.28
0.129,0.29000000000000004
0.13,0.30000000000000004
0.131,0.31000000000000005
0.132,0.32000000000000006
0.133,0.33000000000000007
0.134,0.3400000000000001
0.135,0.3500000000000001
0.136,0.3600000000000001
0.137,0.3700000000000001
0.138,0.3800000000000001
0.139,0.3900000000000001
0.14,0.40000000000000013
0.141,0.4099999999999999
0.142,0.41999999999999993
0.143,0.42999999999999994
0.144,0.43999999999999995
0.145,0.44999999999999996
0.146,0.45999999999999996
0.147,0.47
0.148,0.48
0.149,0.49
0.15,0.5
0.151,0.51
0.152,0.52
0.153,0.53
0.154,0.54
0.155,0.55
0.156,0.56
0.157,0.5700000000000001
0.158,0.5800000000000001
0.159,0.5900000000000001
0.16,0.6000000000000001
0.161,0.6100000000000001
0.162,0.6200000000000001
0.163,0.6300000000000001
0.164,0.6400000000000001
0.165,0.6500000000000001
0.166,0.6600000000000001
0.167,0.6700000000000002
0.168,0.6800000000000002
0.169,0.6900000000000002
0.17,0.7000000000000002
0.171,0.7100000000000002
0.172,0.7199999999999998
0.173,0.73
0.174,0.7399999999999998
0.175,0.75
0.176,0.7599999999999998
0.177,0.77
0.178,0.7799999999999998
0.179,0.79
0.18,0.7999999999999998
0.181,0.81
0.182,0.8199999999999998
0.183,0.8300000000000001
0.184,0.8399999999999999
0.185,0.8500000000000001
0.186,0.8599999999999999
0.187,0.8700000000000001
0.188,0.8799999999999999
0.189,0.8900000000000001
0.19,0.8999999999999999
0.191,0.9100000000000001
0.192,0.9199999999999999
0.193,0.9300000000000002
0.194,0.94
0.195,0.9500000000000002
0.196,0.96
0.197,0.9700000000000002
0.198,0.98
0.199,0.9900000000000002
0.2,-1.0
0.201,-0.9899999999999998
0.202,-0.98
0.203,-0.9699999999999998
0.204,-0.96
0.205,-0.9500000000000002
0.206,-0.94
0.207,-0.9300000000000002
0.208,-0.9199999999999999
0.209,-0.9100000000000001
0.21,-0.8999999999999999
0.211,-0.8900000000000001
0.212,-0.8799999999999999
0.213,-0.8700000000000001
0.214,-0.8599999999999999
0.215,-0.8500000000000001
0.216,-0.8399999999999999
0.217,-0.8300000000000001
0.218,-0.8199999999999998
0.219,-0.81
0.22,-0.7999999999999998
0.221,-0.79
0.222,-0.7799999999999998
0.223,-0.77
0.224,-0.7599999999999998
0.225,-0.75
0.226,-0.7399999999999998
0.227,-0.73
0.228,-0.7199999999999998
0.229,-0.71
0.23,-0.6999999999999997
0.231,-0.69
0.232,-0.6799999999999997
0.233,-0.6699999999999999
0.234,-0.6599999999999997
0.235,-0.6500000000000004
0.236,-0.6400000000000001
0.237,-0.6299999999999999
0.238,-0.6200000000000001
0.239,-0.6100000000000003
0.24,-0.6000000000000001
0.241,-0.5899999999999999
0.242,-0.5800000000000001
0.243,-0.5700000000000003
0.244,-0.56
0.245,-0.5499999999999998
0.246,-0.54
0.247,-0.5300000000000002
0.248,-0.52
0.249,-0.5099999999999998
0.25,-0.5
0.251,-0.4900000000000002
0.252,-0.48
0.253,-0.46999999999999975
0.254,-0.45999999999999996
0.255,-0.4500000000000002
0.256,-0.43999999999999995
0.257,-0.4299999999999997
0.258,-0.41999999999999993
0.259,-0.41000000000000014
0.26,-0.3999999999999999
0.261,-0.3899999999999997
0.262,-0.3799999999999999
0.263,-0.3700000000000001
0.264,-0.3599999999999999
0.265,-0.34999999999999964
0.266,-0.33999999999999986
0.267,-0.33000000000000007
0.268,-0.31999999999999984
0.269,-0.3099999999999996
0.27,-0.2999999999999998
0.271,-0.29000000000000004
0.272,-0.2799999999999998
0.273,-0.2699999999999996
0.274,-0.2599999999999998
0.275,-0.25
0.276,-0.23999999999999977
0.277,-0.22999999999999954
0.278,-0.21999999999999975
0.279,-0.20999999999999996
0.28,-0.19999999999999973
0.281,-0.1899999999999995
0.282,-0.18000000000000016
0.283,-0.17000000000000037
0.284,-0.16000000000000014
0.285,-0.15000000000000036
0.286,-0.14000000000000012
0.287,-0.13000000000000034
0.288,-0.1200000000000001
0.289,-0.11000000000000032
0.29,-0.10000000000000009
0.291,-0.0900000000000003
0.292,-0.08000000000000007
0.293,-0.07000000000000028
0.294,-0.06000000000000005
0.295,-0.050000000000000266
0.296,-0.040000000000000036
0.297,-0.03000000000000025
0.298,-0.020000000000000018
0.299,-0.010000000000000231
0.3,0.0
0.301,0.009999999999999787
0.302,0.020000000000000018
0.303,0.029999999999999805
0.304,0.040000000000000036
0.305,0.04999999999999982
0.306,0.06000000000000005
0.307,0.06999999999999984
0.308,0.08000000000000007
0.309,0.08999999999999986
0.31,0.10000000000000009
0.311,0.10999999999999988
0.312,0.1200000000000001
0.313,0.1299999999999999
0.314,0.14000000000000012
0.315,0.1499999999999999
